sticker;id;category;code
marilin;CAACAgIAAxkBAAICyGGSaHIoI0Sh3lfZGvvRRnBVIbsrAAKzCAACCLcZAtndkicrmeA8IgQ;victory;0
lincoln;CAACAgIAAxkBAAICyWGSaINGEfJZtSyZMdxSvntEFzavAALeCAACCLcZAthBNUbWHlZAIgQ;victory;0
freddy;CAACAgIAAxkBAAICymGSaJ3MyFdztJN4u2nHz3gS8ZXAAAKyCAACCLcZAhMvzLXnfVShIgQ;victory;0
newton;CAACAgIAAxkBAAIC7WGSbGXvdDfdXlfuOn6-tovrVe7JAALfCAACCLcZAnLSRFdZiNzlIgQ;hint;1
dalí;CAACAgIAAxkBAAIC7mGSbIAEOs7yW3_Byb3jykiBXEH5AALgCAACCLcZApPkOeu87BosIgQ;hint;1
napoleon;CAACAgIAAxkBAAIC72GSbJTQqhxquTozaPFcldb1A-jYAAK1CAACCLcZAkOd6IRiirFUIgQ;hint;1
juliocesar;CAACAgIAAxkBAAIC8WGSbLWQcsijuRtngv1kksiS4gABLwAC4ggAAgi3GQLBIgaDPXeR7CIE;victory;0
ghandi;CAACAgIAAxkBAAIC8mGSbMlaiJ7HSBwVId3iysOmOOXPAAKmCAACCLcZAiuFi1K7okV2IgQ;hint;1
franklin;CAACAgIAAxkBAAIC82GSbNzJ5I_vOKV8SkAnA7HlmXzIAAKkCAACCLcZApx9jiSt2W9HIgQ;hint;1
chaplin;CAACAgIAAxkBAAIC9WGSbPM3PszbshkdvMro8PoTAAFXZgAC0QgAAgi3GQJWyfXhxzvR5iIE;loose;2
einstein;CAACAgIAAxkBAAIC9mGSbQVoucNkDkW6u6eE0oOvrJEUAALTCAACCLcZAuMwtenAq70fIgQ;victory;0
freud;CAACAgIAAxkBAAIC92GSbRb3YEAWe0AVhm4FqT4ZPdJIAALZCAACCLcZAtFJpcEaRIVNIgQ;victory;0
brucelee;CAACAgIAAxkBAAIC-GGSbTjSIPWCInl0-aQJZ3OO7jHUAAKUCAACCLcZAtFLaULZ82fmIgQ;hint;1
juliocesar;CAACAgIAAxkBAAIC_GGSbWcRpDdA7OUsnm7zRl00AaB3AALjCAACCLcZAqhiD9a4x0BrIgQ;loose;2
martinlking;CAACAgIAAxkBAAIC_WGSbX6Niy3nOOijH7v_B0FRnmKLAAKSCAACCLcZAt2558s4lgJ9IgQ;victory;0
unknown;CAACAgIAAxkBAAIC_mGSbZOyhIms8PllyXA3HPqpk3p1AALPCAACCLcZAmRX7jsiQd-mIgQ;hint;1
unknown;CAACAgIAAxkBAAIC_2GSbbCAY57Kx8Cm-Ai81MahtJ8bAAKnCAACCLcZAv_bYAFcLmuuIgQ;hint;1
lenon;CAACAgIAAxkBAAIDAWGSbcy7120P8VP25sJJ8VUy5CthAAKsCAACCLcZApSc_cGAjwPqIgQ;hint;1
unknown;CAACAgIAAxkBAAIDA2GSbeks3L1Ssgn00_-Nj_LO8NwtAAK0CAACCLcZAlUx5xx3GlnDIgQ;loose;2
unknown;CAACAgIAAxkBAAIDBWGSbf7mLzt7FkbQNilAFlhbSXHiAAK4CAACCLcZAqbD6XCtqEPFIgQ;loose;2
unknown;CAACAgIAAxkBAAIDBmGSbhXkDS6n2RqlUH_XAc90W54nAAK6CAACCLcZAg4TYhWPCwe3IgQ;hint;1
unknown;CAACAgIAAxkBAAIDB2GSbiXwF1ynOkhha6T0eEx-G-sJAAK7CAACCLcZAtM9pSBt9oVaIgQ;loose;2
tesla;CAACAgIAAxkBAAIDCGGSbjVcgv4ek1zvm18DkmM2OmxxAAK9CAACCLcZAnljapSCec4qIgQ;loose;2
arquimedes;CAACAgIAAxkBAAIDC2GSbl_MDAExilaqVmyYMsHztt0rAAL1CAACCLcZApLG_ssh4GWBIgQ;loose;2
unknown;CAACAgIAAxkBAAIDDWGSbnm_tPssjLUEQlYQbIK0_YnwAALCCAACCLcZAhEcqZkGolAiIgQ;hint;1
unknown;CAACAgIAAxkBAAIDDmGSbpkxyxez3K_B8AEeZDJuW0XIAALhCAACCLcZAquv5CMrODAmIgQ;hint;1
